Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25.0,2000,25,19,1654,18.4,4,3,7,4,0,0,1,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,1,us USA,"FW,MF",eng Premier League,25-112,2000,18.4,4,33,14,42.4,1.80,0.76,0.12,0.29,0,0,1,us USA,"FW,MF",eng Premier League,25-112,2000,25,1654,66,70.7,18.4,19,80,2,6,21,1,1.08,29,24,+5,+0.27,+2.11,1,us USA,"FW,MF",eng Premier League,25-112,2000,18.4,1,0,0,14,35,5,28,12,21,0
2,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19.0,2006,2,1,120,1.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2,eng ENG,DF,eng Premier League,19-274,2006,1.3,0,0,0,,0.00,0.00,,,0,0,3,eng ENG,DF,eng Premier League,19-274,2006,2,120,60,5.3,1.3,1,75,0,1,45,11,0.00,0,4,-4,-3.00,-2.62,2,eng ENG,DF,eng Premier League,19-274,2006,1.3,0,0,0,2,1,0,3,2,2,0
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20.0,2006,14,3,462,5.1,2,0,2,2,0,0,0,0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,3,ma MAR,"MF,FW",es La Liga,20-030,2006,5.1,2,12,3,25.0,2.34,0.58,0.17,0.67,0,0,5,ma MAR,"MF,FW",es La Liga,20-030,2006,14,462,33,22.3,5.1,3,77,1,11,21,9,1.50,8,7,+1,+0.19,-0.03,3,ma MAR,"MF,FW",es La Liga,20-030,2006,5.1,0,0,0,3,3,1,24,1,0,0
4,Himad Abdelli,dz ALG,"FW,MF",Marseille,fr Ligue 1,26.0,1999,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,4,dz ALG,"FW,MF",fr Ligue 1,26-086,1999,0.3,0,3,1,33.3,9.31,3.10,0.00,0.00,0,0,6,dz ALG,"FW,MF",fr Ligue 1,26-086,1999,1,29,29,1.5,0.3,0,,0,1,29,0,0.00,0,3,-3,-9.31,-10.37,4,dz ALG,"FW,MF",fr Ligue 1,26-086,1999,0.3,0,0,0,2,0,0,0,0,0,0
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,5,dz ALG,MF,fr Ligue 1,26-086,1999,10.5,2,11,5,45.5,1.05,0.48,0.00,0.00,2,2,7,dz ALG,MF,fr Ligue 1,26-086,1999,13,943,73,49.9,10.5,11,81,4,2,25,0,1.38,12,13,-1,-0.10,+0.09,5,dz ALG,MF,fr Ligue 1,26-086,1999,10.5,1,0,0,16,12,1,9,13,17,0
6,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32.0,1993,13,9,755,8.4,1,0,1,1,0,0,4,1,0.12,,,,,,,,,,,,,,,,,,,,,,,,,6,tn TUN,"MF,DF",fr Ligue 1,32-053,1993,8.4,1,4,1,25.0,0.48,0.12,0.25,1.00,0,0,8,tn TUN,"MF,DF",fr Ligue 1,32-053,1993,13,755,58,39.9,8.4,9,73,5,4,24,1,0.77,12,10,+2,+0.24,+1.27,6,tn TUN,"MF,DF",fr Ligue 1,32-053,1993,8.4,4,1,1,14,11,0,23,7,8,0
7,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25.0,2000,14,9,663,7.4,0,0,0,0,0,0,3,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,7,gh GHA,MF,fr Ligue 1,25-322,2000,7.4,0,0,0,,0.00,0.00,,,0,0,9,gh GHA,MF,fr Ligue 1,25-322,2000,14,663,47,35.1,7.4,9,64,1,5,17,7,1.14,13,15,-2,-0.27,+0.39,7,gh GHA,MF,fr Ligue 1,25-322,2000,7.4,3,0,0,14,7,0,1,9,7,0
8,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1999,14,4,491,5.5,0,1,1,0,0,0,0,0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,8,sa KSA,MF,fr Ligue 1,26-208,1999,5.5,0,3,1,33.3,0.55,0.18,0.00,0.00,0,0,10,sa KSA,MF,fr Ligue 1,26-208,1999,14,491,35,26.0,5.5,4,84,2,10,16,6,2.00,8,5,+3,+0.55,-0.54,8,sa KSA,MF,fr Ligue 1,26-208,1999,5.5,0,0,0,8,6,0,18,2,9,0
9,Tay Abed,il ISR,MF,Levante,es La Liga,21.0,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,9,il ISR,MF,es La Liga,21-340,2004,0.0,0,0,0,,0.00,0.00,,,0,0,11,il ISR,MF,es La Liga,21-340,2004,1,2,2,0.1,0.0,0,,0,1,2,1,1.00,0,0,0,0.00,+0.55,9,il ISR,MF,es La Liga,21-340,2004,0.0,0,0,0,0,0,0,0,0,0,0
10,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33.0,1993,20,20,1732,19.2,1,0,1,1,0,0,6,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,10,fr FRA,MF,fr Ligue 1,33-010,1993,19.2,1,18,5,27.8,0.94,0.26,0.06,0.20,0,0,12,fr FRA,MF,fr Ligue 1,33-010,1993,20,1732,87,91.6,19.2,20,87,15,0,,0,1.35,25,31,-6,-0.31,-0.31,10,fr FRA,MF,fr Ligue 1,33-010,1993,19.2,6,0,0,22,17,0,6,19,20,0
11,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22.0,2003,21,18,1694,18.8,4,2,6,4,0,1,5,0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,11,fr FRA,"FW,MF",fr Ligue 1,22-320,2003,18.8,4,56,15,26.8,2.98,0.80,0.07,0.27,0,1,13,fr FRA,"FW,MF",fr Ligue 1,22-320,2003,21,1694,81,89.6,18.8,18,89,15,3,29,0,0.67,18,35,-17,-0.90,-0.44,11,fr FRA,"FW,MF",fr Ligue 1,22-320,2003,18.8,5,0,0,25,36,3,24,5,11,0
12,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25.0,2000,14,14,1158,12.9,3,0,3,3,0,0,3,1,0.23,,,,,,,,,,,,,,,,,,,,,,,,,12,br BRA,"DF,MF",fr Ligue 1,25-260,2000,12.9,3,12,4,33.3,0.93,0.31,0.25,0.75,0,0,14,br BRA,"DF,MF",fr Ligue 1,25-260,2000,14,1158,83,61.3,12.9,14,83,7,0,,1,2.07,19,9,+10,+0.78,+0.29,12,br BRA,"DF,MF",fr Ligue 1,25-260,2000,12.9,3,1,0,18,4,0,32,5,12,0
